poiID,poiCat,poiLon,poiLat,cate
0,0,0,0,14
1,Transport,139.8051453,35.74964694,2
2,Transport,139.767254,35.669687,2
3,Shop,139.7673154,35.66808763,3
4,Store,139.7667561,35.66833822,6
5,Transport,139.7730182,35.6985962,2
6,Restaurant,139.770555,35.700941,4
7,Store,139.7712931,35.70128072,6
8,Store,139.7746217,35.69901542,6
9,Entertainment,139.7706521,35.70093221,5
10,Restaurant,139.7739056,35.69926155,4
11,Transport,139.7760584,35.71341173,2
12,Transport,139.8269248,35.64592362,2
13,Store,139.7915176,35.63379647,6
14,Transport,139.7916135,35.63440986,2
15,Shop,139.7942662,35.62986668,3
16,Office,139.7708103,35.69997164,8
17,Store,139.7866304,35.697973,6
18,Transport,139.7859755,35.69746615,2
19,Restaurant,139.7708713,35.70084933,4
20,Office,139.772374,35.69965384,8
21,Transport,139.7660816,35.68137872,2
22,Transport,139.7659636,35.68148766,2
23,Transport,139.7636139,35.68691239,2
24,Athletic & Sport,139.7498274,35.69320376,12
25,Store,139.7717518,35.70042688,6
26,Shop,139.7716284,35.6983271,3
27,Store,139.7719771,35.70018728,6
28,Transport,139.7709632,35.72777124,2
29,Store,139.7718,35.70104548,6
30,Shop,139.771692,35.700226,3
31,Transport,139.8356581,35.68985772,2
32,Transport,139.7682153,35.67993969,2
33,Restaurant,139.7683553,35.68018027,4
34,Transport,139.7695309,35.67999307,2
35,Transport,139.7002792,35.69080269,2
36,Shop,139.79756,35.71440948,3
37,Church,139.7967339,35.71472744,11
38,Restaurant,139.7973239,35.71180481,4
39,Store,139.797961,35.713022,6
40,Entertainment,139.7703959,35.69178998,5
41,Shop,139.7705468,35.69964037,3
42,Entertainment,139.770389,35.699527,5
43,Store,139.7713119,35.70100191,6
44,Store,139.7739083,35.69925938,6
45,School,139.7414857,35.69541694,9
46,Store,139.7710168,35.69889344,6
47,Transport,139.754315,35.702002,2
48,Entertainment,139.7545695,35.70320617,5
49,Restaurant,139.7597199,35.69620373,4
50,Transport,139.7580671,35.69596587,2
51,Transport,139.7827542,35.69213199,2
52,Store,139.7710598,35.69898492,6
53,Transport,139.7044975,35.86406833,2
54,Park,139.695483,35.860169,7
55,Transport,139.6472044,35.84567611,2
56,Transport,139.6732548,35.58259999,2
57,Restaurant,139.6981777,35.660683,4
58,Office,139.6978569,35.65785416,8
59,Transport,139.7020304,35.65819631,2
60,Entertainment,139.697944,35.658788,5
61,Building,139.7037437,35.66041537,1
62,Entertainment,139.699085,35.657673,5
63,Restaurant,139.6982845,35.6590074,4
64,Restaurant,139.698042,35.65730714,4
65,School,139.7000456,35.65731368,9
66,Shop,139.7008424,35.65558461,3
67,Building,139.719135,35.6281469,1
68,Office,139.7030564,35.66151202,8
69,Restaurant,139.6989647,35.65801107,4
70,Restaurant,139.698422,35.658796,4
71,Transport,139.7581327,35.66669205,2
72,Shop,139.703002,35.658225,3
73,Transport,139.7450316,35.70230879,2
74,Restaurant,139.7009575,35.65858641,4
75,Restaurant,139.6994863,35.65791518,4
76,Restaurant,139.698845,35.659434,4
77,Transport,139.6596515,35.57572976,2
78,Transport,139.6687227,35.58941466,2
79,Restaurant,139.6980017,35.65891276,4
80,Restaurant,139.6688461,35.58906239,4
81,Transport,139.6806813,35.57542435,2
82,Shop,139.7635067,35.67437394,3
83,Shop,139.6732099,35.58267865,3
84,Restaurant,139.6767636,35.57974536,4
85,Restaurant,139.6982539,35.65859949,4
86,Transport,139.7159428,35.56220032,2
87,Athletic & Sport,139.6314292,35.63944321,12
88,Restaurant,139.6976826,35.65943633,4
89,Entertainment,139.6825784,35.69725771,5
90,Restaurant,139.6979776,35.66114923,4
91,Transport,139.6682453,35.58970453,2
92,Restaurant,139.701494,35.65723959,4
93,Transport,139.739871,35.63872608,2
94,Restaurant,139.7019071,35.52840501,4
95,Restaurant,139.6984491,35.65876929,4
96,Restaurant,139.6964192,35.6573747,4
97,Restaurant,139.7380818,35.67245786,4
98,Building,139.6687013,35.58754862,1
99,Transport,139.7678196,35.68113471,2
100,Transport,139.7099483,35.64687831,2
101,Restaurant,139.6687345,35.5898666,4
102,Park,139.6009326,35.66843628,7
103,Transport,139.6011391,35.66822491,2
104,Transport,139.5443957,35.65188911,2
105,Restaurant,139.6017856,35.66678599,4
106,Entertainment,139.6021864,35.66628731,5
107,Shop,139.67728,35.68748,3
108,Transport,139.6822947,35.68887305,2
109,Shop,139.6920097,35.6932996,3
110,Store,139.5729518,35.68075997,6
111,Church,139.5850299,35.66372068,11
112,Store,139.6294069,35.68141576,6
113,Transport,139.6364647,35.67970204,2
114,Transport,139.6567896,35.68335477,2
115,Shop,139.6992195,35.69133034,3
116,Transport,139.6989512,35.68860292,2
117,Transport,139.7743267,35.70788893,2
118,Building,139.7720295,35.71527408,1
119,Church,139.7710893,35.71210317,11
120,Shop,139.6202094,35.67447846,3
121,Transport,139.6992517,35.6897183,2
122,Restaurant,139.602071,35.66717,4
123,Scenic Lookout,139.5886828,35.69233137,0
124,Transport,139.5845389,35.69713778,2
125,Scenic Lookout,139.5803788,35.70349804,0
126,Store,139.5815456,35.70470468,6
127,Shop,139.5928591,35.6753261,3
128,Restaurant,139.6147567,35.67164812,4
129,Shop,139.613603,35.66906,3
130,Restaurant,139.5990654,35.66943218,4
131,Transport,139.6995628,35.68892751,2
132,Shop,139.701788,35.689624,3
133,Shop,139.7011185,35.69104279,3
134,Scenic Lookout,139.701094,35.692349,0
135,Office,139.6868733,35.68279486,8
136,Transport,139.6708524,35.67544376,2
137,Store,139.6639028,35.67377039,6
138,Transport,139.6606064,35.6724979,2
139,School,139.6482897,35.67112081,9
140,Church,139.6467984,35.66967396,11
141,Shop,139.6262199,35.66981772,3
142,Transport,139.6246164,35.67069457,2
143,Transport,139.6143787,35.67765206,2
144,Shop,139.6187317,35.66960859,3
145,Restaurant,139.6247111,35.67021762,4
146,Transport,139.6234699,35.66884376,2
147,Building,139.639653,35.68241926,1
148,Restaurant,139.6009669,35.66851357,4
149,Building,139.580279,35.707807,1
150,Shop,139.5996328,35.6875071,3
151,Restaurant,139.600428,35.66859448,4
152,Restaurant,139.6572161,35.68355738,4
153,Shop,139.6982314,35.69542333,3
154,Shop,139.602042,35.66731,3
155,Store,139.601274,35.666874,6
156,Restaurant,139.600592,35.667674,4
